市町村名,2025年_総人口
長野市,361045
松本市,237005
上田市,149869
岡谷市,45301
飯田市,93397
諏訪市,47032
須坂市,48350
小諸市,40274
伊那市,63758
駒ヶ根市,31092
中野市,40447
大町市,24426
飯山市,17946
茅野市,55078
塩尻市,65668
佐久市,96856
千曲市,57525
東御市,29055
安曇野市,92801
小海町,4010
佐久穂町,9640
川上村,3518
南牧村,2900
南相木村,888
北相木村,669
軽井沢町,19948
御代田町,16433
立科町,6197
長和町,5215
青木村,3868
下諏訪町,17991
富士見町,13796
原村,7716
辰野町,17382
箕輪町,24517
飯島町,8551
南箕輪村,16179
中川村,4444
宮田村,8367
松川町,11981
高森町,12450
阿南町,3802
阿智村,5742
平谷村,368
根羽村,778
下條村,3280
売木村,495
天龍村,991
泰阜村,1378
喬木村,5600
豊丘村,6202
大鹿村,908
上松町,3775
南木曽町,3572
木曽町,9709
木祖村,2412
王滝村,639
大桑村,3066
麻績村,2311
生坂村,1531
山形村,8223
朝日村,4033
筑北村,3788
池田町,8782
松川村,9541
白馬村,9486
小谷村,2679
坂城町,13108
小布施町,10642
高山村,6154
山ノ内町,10587
木島平村,4014
野沢温泉村,3358
信濃町,7203
飯綱町,9690
小川村,2031
栄村,1463
