市町村名,男,女
長野市,176066,184979
松本市,116324,120681
上田市,73483,76386
岡谷市,22054,23247
飯田市,45238,48159
諏訪市,23019,24013
須坂市,23753,24597
小諸市,19662,20612
伊那市,31285,32473
駒ヶ根市,15294,15798
中野市,19632,20815
大町市,11854,12572
飯山市,8741,9205
茅野市,27646,27432
塩尻市,32987,32681
佐久市,47400,49456
千曲市,27716,29809
東御市,14339,14716
安曇野市,44740,48061
小海町,1974,2036
佐久穂町,4709,4931
川上村,1951,1567
南牧村,1555,1345
南相木村,437,451
北相木村,338,331
軽井沢町,9555,10393
御代田町,8093,8340
立科町,3104,3093
長和町,2609,2606
青木村,1877,1991
下諏訪町,8660,9331
富士見町,6727,7069
原村,3725,3991
辰野町,8404,8978
箕輪町,12295,12222
飯島町,4166,4385
南箕輪村,8053,8126
中川村,2107,2337
宮田村,4074,4293
松川町,5841,6140
高森町,6045,6405
阿南町,1825,1977
阿智村,2759,2983
平谷村,185,183
根羽村,396,382
下條村,1580,1700
売木村,242,253
天龍村,469,522
泰阜村,646,732
喬木村,2747,2853
豊丘村,3076,3126
大鹿村,485,423
上松町,1885,1890
南木曽町,1757,1815
木曽町,4740,4969
木祖村,1101,1311
王滝村,302,337
大桑村,1521,1545
麻績村,1102,1209
生坂村,772,759
山形村,4024,4199
朝日村,1975,2058
筑北村,1879,1909
池田町,4261,4521
松川村,4592,4949
白馬村,4759,4727
小谷村,1410,1269
坂城町,6497,6611
小布施町,5066,5576
高山村,3030,3124
山ノ内町,5155,5432
木島平村,1947,2067
野沢温泉村,1622,1736
信濃町,3541,3662
飯綱町,4749,4941
小川村,1016,1015
栄村,696,767
